Half Reaction,Standard Reduction Potential (V)
Hg2(2+) + 2 e- -> 2 Hg,0.7973
Ag+ + e- -> Ag,0.7996
[Os(bipy)3]3+ + e- -> [Os(bipy)3]2+,0.80
2 NO3- + 4 H+ + 2 e- -> N2O4 + 2 H2O,0.803
[Os(bipy)2]3+ + e- -> [Os(bipy)2]2+,0.81
RhOH2+ + H+ + 3 e- -> Rh + H2O,0.83
OsO4 + 8 H+ + 8 e- -> Os + 4 H2O,0.838
ClO- + H2O + 2 e- -> Cl- + 2 OH-,0.841
Hg2+ + 2 e- -> Hg,0.851
AuBr4- + 3 e- -> Au + 4 Br-,0.854
SiO2 (quartz) + 4 H+ + 4 e- -> Si + 2 H2O,0.857
2 HNO2 + 4 H+ + 4 e- -> H2N2O2 + H2O,0.86
[Ru(CN)6]3- + e- -> [Ru(CN)6]4-,0.86
[IrCl6]2- + e- -> [IrCl6]3-,0.8665
N2O4 + 2 e- -> 2 NO2-,0.867
HO2- + H2O + 2 e- -> 3 OH-,0.878
2 Hg2+ + 2 e- -> Hg22+,0.920
NO3- + 3 H+ + 2 e- -> HNO2 + H2O,0.934
Pd2+ + 2 e- -> Pd,0.951
ClO2(aq) + e- -> ClO2-,0.954
NO3- + 4 H+ + 3 e- -> NO + 2 H2O,0.957
V2O5 + 6 H+ + 2 e- -> 2 VO2+ + 3 H2O,0.957
AuBr2- + e- -> Au + 2 Br-,0.959
HNO2 + H+ + e- -> NO + H2O,0.983
HIO + H+ + 2 e- -> I- + H2O,0.987
VO2+ + 2 H+ + e- -> VO2+ + H2O,0.991
PtO2 + 4 H+ + 4 e- -> Pt + 2 H2O,1.00
RuO4 + e- -> RuO4-,1.00
V(OH)4+ + 2 H+ + e- -> VO2+ + 3 H2O,1.00
AuCl4- + 3 e- -> Au + 4 Cl-,1.002
Pu4+ + e- -> Pu3+,1.006
PtO2 + 2 H+ + 2 e- -> PtO + H2O,1.01
OsO4 + 4 H+ + 4 e- -> OsO2 + 2 H2O,1.02
H6TeO6 + 2 H+ + 2 e- -> TeO2 + 4 H2O,1.02
[Fe(bipy)3]3+ + e- -> [Fe(bipy)3]2+,1.03
Hg(OH)2 + 2 H+ + 2 e- -> Hg + 2 H2O,1.034
N2O4 + 4 H+ + 4 e- -> 2 NO + 2 H2O,1.035
RuO4 + 8 H+ + 8 e- -> Ru + 4 H2O,1.038
[Fe(phen)3]3+ + e- -> [Fe(phen)3]2+ (1 molar H2SO4),1.06
PuO2(OH)2 + H+ + e- -> PuO2OH + H2O,1.062
N2O4 + 2 H+ + 2 e- -> 2 HNO2,1.065
Br2(l) + 2 e- -> 2 Br-,1.066
IO3- + 6 H+ + 6 e- -> I- + 3 H2O,1.085
Br2(aq) + 2 e- -> 2 Br-,1.0873
PoO3 + 4 H+ + 3 e- -> Po2+ + 2 H2O,1.095
Pu5+ + e- -> Pu4+,1.099
Cu2+ + 2 CN- + e- -> [Cu(CN)2]-,1.103
RuO2 + 4 H+ + 2 e- -> Ru2+ + 2 H2O,1.120
[Fe(phen)3]3+ + e- -> [Fe(phen)3]2+,1.147
SeO4(2-) + 4 H+ + 2 e- -> H2SeO3 + H2O,1.151
ClO3- + 2 H+ + e- -> ClO2 + H2O,1.152
Ir3+ + 3 e- -> Ir,1.156
Pt2+ + 2 e- -> Pt,1.18
